,Product Name,Brand,ID,Retail Price,Whole Sale,Supplier,Description
1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,3,38.94,35,Nunavut,Storage & Organization
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,293,208.16,68.02,Nunavut,Appliances
3,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Barry French,293,8.69,2.99,Nunavut,Binders and Binder Accessories
4,R380,Clay Rozendal,483,195.99,3.99,Nunavut,Telephones and Communication
5,Holmes HEPA Air Purifier,Carlos Soltero,515,21.78,5.94,Nunavut,Appliances
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,6.64,4.95,Nunavut,Office Furnishings
7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,613,7.3,7.72,Nunavut,Binders and Binder Accessories
8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,613,42.76,6.22,Nunavut,Storage & Organization
9,"SAFCO Commercial Wire Shelving, Black",Monica Federle,643,138.14,35,Nunavut,Storage & Organization
10,Xerox 198,Dorothy Badders,678,4.98,8.33,Nunavut,Paper
11,Xerox 1980,Neola Schneider,807,4.28,6.18,Nunavut,Paper
12,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,3.95,2,Nunavut,Rubber Bands
13,Holmes HEPA Air Purifier,Carlos Daly,868,21.78,5.94,Nunavut,Appliances
14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,868,47.98,3.61,Nunavut,Computer Peripherals
15,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Claudia Miner,933,5.28,2.99,Nunavut,Binders and Binder Accessories
16,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,39.89,3.04,Nunavut,Office Furnishings
17,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,998,15.74,1.39,Nunavut,Envelopes
18,Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,100.98,26.22,Nunavut,Bookcases
19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,1154,71.37,69,Nunavut,Tables
20,g520,Jim Radford,1344,65.99,5.26,Nunavut,Telephones and Communication
21,LX 788,Jim Radford,1344,155.99,8.99,Nunavut,Telephones and Communication
22,Avery 52,Carlos Soltero,1412,3.69,0.5,Nunavut,Labels
